"Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114","kg","CFC-114","kg",0,1.00
"Ethane, 1-chloro-1,1-difluoro-, HCFC-142b","kg","HCFC-142","kg",0,1.00
"Ethane, 2,2-dichloro-1,1,1-trifluoro-, HCFC-123","kg","HCFC-123","kg",0,1.00
"Ethane, 2-chloro-1,1,1,2-tetrafluoro-, HCFC-124","kg","HCFC-124","kg",0,1.00
"Ethane, chloropentafluoro-, CFC-115","kg","CFC-115","kg",0,1.00
"Ethane, hexachloro-","kg","hexachloroethane","kg",0,1.00
"Ethane, hexafluoro-, HFC-116","kg","HFC-116","kg",0,1.00
"Ethane, pentafluoro-, HFC-125","kg","HFC-125","kg",0,1.00
"Ethanol","kg","ethanol","kg",0,1.00
"Ethene","kg","ethylene","kg",0,1.00
"Ethene, chloro-","kg","vinyl chloride","kg",0,1.00
"Ethene, tetrachloro-","kg","tetrachloroethene","kg",0,1.00
"Ethene, trichloro-","kg","trichloroethene","kg",0,1.00
"Ethephon","kg","ethephon","kg",0,1.00
"Ethofumesate","kg","ethofumesate","kg",0,1.00
"Ethoprop","kg","ethoprophos","kg",0,1.00
"Ethyl acetate","kg","ethyl acetate","kg",0,1.00
"Ethylene diamine","kg","ethylenediamine","kg",0,1.00
"Ethylene glycol monoethyl ether","kg","2-ethoxyethanol","kg",1,1.00
"Ethylene oxide","kg","ethylene oxide","kg",0,1.00
"Ethyne","kg","ethylyne","kg",0,1.00
"Etridiazole","kg","etridiazole","kg",0,1.00
"Europium, 0.06% in bastnasite, 0.006% in crude ore, in ground","kg","europium","kg",0,1.00
"Feldspar, in ground","kg","feldspar","kg",0,1.00
"Fenbuconazole","kg","fenbuconazole","kg",0,1.00
"Fenoxaprop ethyl ester","kg","fenoxaprop-ethyl","kg",0,1.00
"Fenoxaprop-P ethyl ester","kg","fenoxaprop-p-ethyl","kg",0,1.00
"Fenpiclonil","kg","fenpiclonil","kg",0,1.00
"Fenpropathrin","kg","fenpropathrin","kg",0,1.00
"Fenpropidin","kg","fenpropidin","kg",0,1.00
"Fenpropimorph","kg","fenpropimorph","kg",0,1.00
"Fentin acetate","kg","fentin acetate","kg",0,1.00
"Fentin hydroxide","kg","fentin hydroxide","kg",0,1.00
"Fipronil","kg","fipronil","kg",0,1.00
"Fluazifop-P-butyl","kg","fluazifop-p-butyl","kg",0,1.00
"Fluazinam","kg","fluazinam","kg",0,1.00
"Fludioxonil","kg","fludioxonil","kg",0,1.00
"Flufenacet","kg","flufenacet","kg",0,1.00
"Flumetsulam","kg","flumetsulam","kg",0,1.00
"Fluometuron","kg","fluometuron","kg",0,1.00
"Fluoride","kg","fluoride","kg",0,1.00
"Fluorine","kg","fluorine","kg",0,1.00
"Fluorine, 4.5% in apatite, 1% in crude ore, in ground","kg","fluorine","kg",0,1.00
"Fluorine, 4.5% in apatite, 3% in crude ore, in ground","kg","fluorine","kg",0,1.00
"Fluorspar, 92%, in ground","kg","fluorspar","kg",0,1.00
"Fluroxypyr","kg","fluroxypyr","kg",0,1.00
"Flusilazole","kg","flusilazole","kg",0,1.00
"Flutolanil","kg","flutolanil","kg",0,1.00
"Formaldehyde","kg","formaldehyde","kg",0,1.00
"Formic acid","kg","formic acid","kg",0,1.00
"Furan","kg","furan","kg",0,1.00
"Gadolinium, 0.15% in bastnasite, 0.015% in crude ore, in ground","kg","gadolinium","kg",0,1.00
"Gallium, 0.014% in bauxite, in ground","kg","gallium","kg",0,1.00
"Glufosinate","kg","glufosinate ammonium salt","kg",1,1.00
"Glutaraldehyde","kg","glutaraldehyde","kg",0,1.00
"Glyphosate","kg","glyphosate","kg",0,1.00
"Gold","kg","gold","kg",0,1.00
"Gold, Au 1.1E-4%, Ag 4.2E-3%, in ore, in ground","kg","gold","kg",0,1.00
"Gold, Au 1.3E-4%, Ag 4.6E-5%, in ore, in ground","kg","gold","kg",0,1.00
"Gold, Au 1.4E-4%, in ore, in ground","kg","gold","kg",0,1.00
"Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore, in ground","kg","gold","kg",0,1.00
"Gold, Au 4.3E-4%, in ore, in ground","kg","gold","kg",0,1.00
"Gold, Au 4.9E-5%, in ore, in ground","kg","gold","kg",0,1.00
"Gold, Au 6.7E-4%, in ore, in ground","kg","gold","kg",0,1.00
"Gold, Au 7.1E-4%, in ore, in ground","kg","gold","kg",0,1.00
"Gold, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore, in ground","kg","gold","kg",0,1.00
"Granite, in ground","kg","granite","kg",0,1.00
"Gravel, in ground","kg","gravel","kg",0,1.00
"Gypsum, in ground","kg","gypsum","kg",0,1.00
"Halosulfuron-methyl","kg","halosulfuron-methyl","kg",0,1.00
"Heat, waste","MJ","waste heat","kg",0,1.00
"Helium","kg","helium","kg",0,1.00
"Helium, 0.08% in natural gas, in ground","kg","helium","kg",0,1.00
"Heptane","kg","heptane","kg",0,1.00
"Hexane","kg","hexane","kg",0,1.00
"Hydrazine","kg","hydrazine","kg",0,1.00
"Hydrocarbons, aromatic","kg","polycyclic aromatic hydrocarbons","kg",0,1.00
"Hydrocarbons, unspecified","kg","hydrocarbons (unspecified)","kg",0,1.00
"Hydrogen","kg","hydrogen","kg",0,1.00
"Hydrogen chloride","kg","hydrogen chloride","kg",0,1.00
"Hydrogen fluoride","kg","hydrogen fluoride","kg",0,1.00
"Hydrogen peroxide","kg","hydrogen peroxide","kg",0,1.00
"Hydrogen sulfide","kg","hydrogen sulfide","kg",0,1.00
"Hydrogen-3, Tritium","kBq","hydrogen-3","kBq",0,1.00
"Hydroxide","kg","hydroxide","kg",0,1.00
"Hypochlorite","kg","hypochlorite","kg",0,1.00
"Imazalil","kg","imazalil","kg",0,1.00
"Imazamox","kg","imazamox","kg",0,1.00
"Imazapyr","kg","imazapyr","kg",0,1.00
"Imazethapyr","kg","pursuit","kg",0,1.00
"Indium, 0.005% in sulfide, In 0.003%, Pb, Zn, Ag, Cd, in ground","kg","indium","kg",0,1.00
"Indoxacarb","kg","indoxacarb","kg",0,1.00
"Iodide","kg","iodide","kg",0,1.00
"Iodine","kg","iodine","kg",0,1.00
"Iodine-129","kBq","iodine-129","kBq",0,1.00
"Iodine-131","kBq","iodine-131","kBq",0,1.00
"Iodine-133","kBq","iodine-133","kBq",0,1.00
"Ioxynil","kg","ioxynil","kg",0,1.00
"Iprodion","kg","iprodione","kg",0,1.00
"Iron","kg","iron","kg",0,1.00
"Iron, 46% in ore, 25% in crude ore, in ground","kg","iron","kg",0,1.00
"Iron, ion","kg","iron","kg",1,1.00
"Iron-59","kBq","iron-59","kBq",0,1.00
"Isocyanic acid","kg","hydrocyanic acid","kg",1,1.00
"Isoprene","kg","isoprene","kg",0,1.00
"Isoproturon","kg","isoproturon","kg",0,1.00
"Isoxaflutole","kg","isoxaflutole","kg",0,1.00
"Kaolinite, 24% in crude ore, in ground","kg","kaolinite","kg",0,1.00
"Kieserite, 25% in crude ore, in ground","kg","kieserite","kg",0,1.00
"Kresoxim-methyl","kg","kresoxim methyl","kg",0,1.00
"Krypton, in air","kg","krypton","kg",0,1.00
"Krypton-85","kBq","krypton-85","kBq",0,1.00
"Krypton-85m","kBq","krypton-85","kBq",0,1.00
"Krypton-87","kBq","krypton-87","kBq",0,1.00
"Krypton-88","kBq","krypton-88","kBq",0,1.00
"Krypton-89","kBq","krypton-89","kBq",0,1.00
"Lactofen","kg","lactofen","kg",0,1.00
"Lambda-cyhalothrin","kg","cyhalothrin","kg",0,1.00
"Lanthanum","kg","lanthanum","kg",0,1.00
"Lanthanum, 7.2% in bastnasite, 0.72% in crude ore, in ground","kg","lanthanum","kg",0,1.00
"Lanthanum-140","kBq","lanthanum-140","kBq",0,1.00
"Lead","kg","lead","kg",0,1.00
"Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground","kg","lead","kg",0,1.00
"Lead, Pb 0.014%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, in ore, in ground","kg","lead","kg",0,1.00
"Lead-210","kBq","lead-210","kBq",0,1.00
"Lindane","kg","lindane","kg",0,1.00
"Linuron","kg","linuron","kg",0,1.00
"Lithium carbonate","kg","lithium","kg",1,1.00
