"04abe114-7939-4935-9281-49e5d89cc1bc",,,"Hydrocarbons, aromatic","487df68b-4994-4027-8fdc-a4dc298257b7","e47f0a6c-3be8-4027-9eee-de251784f708"
"04cd03b8-8206-4d3a-a910-59ffc0550c2c","094125-34-5","C15H16F3N5O4S","Prosulfuron","487df68b-4994-4027-8fdc-a4dc298257b7","e1bc9a16-5b6a-494f-98ef-49f461b1a11e"
"04eb0695-e67b-46e5-9516-da6bde119822",,"CORINE 122b","Transformation, to traffic area, road embankment","1017f68a-f818-4f9d-a34d-a31e7386f628","7d704b6f-d455-4f41-9c28-50b4f372f315"
"04f42988-6207-4d09-a91f-155be8d27eb0","000118-74-1","C6Cl6","Benzene, hexachloro-","487df68b-4994-4027-8fdc-a4dc298257b7","7011f0aa-f5f9-4901-8c10-884ad8296812"
"04f9be83-433e-4564-af72-98e463e5b616","034123-59-6","C12H18N2O","Isoproturon","487df68b-4994-4027-8fdc-a4dc298257b7","e1bc9a16-5b6a-494f-98ef-49f461b1a11e"
"050da0cd-2957-45a9-ae7a-ace372083fe5","000306-83-2","C2HCl2F3","Ethane, 2,2-dichloro-1,1,1-trifluoro-, HCFC-123","487df68b-4994-4027-8fdc-a4dc298257b7","7011f0aa-f5f9-4901-8c10-884ad8296812"
"051aaf7a-6c1a-4e86-999f-85d5f0830df6",,"PM2.5","Particulates, < 2.5 um","487df68b-4994-4027-8fdc-a4dc298257b7","23dbff79-8037-43e7-b270-5a3da416a284"
"0539c713-83e6-49d1-8738-1ba43e8bc2f8","014392-02-0","Cr-51","Chromium-51","4923348e-591b-4772-b224-d19df86f04c9","aa4362e0-b20a-448b-b2a0-261f4510deb5"
"0545c382-2312-43b6-9ec3-63dbb1438565","007440-02-0","Ni","Nickel","487df68b-4994-4027-8fdc-a4dc298257b7","f335ce0e-b830-475a-adab-03858d9cbdaf"
"0555dc8e-d8b3-4da1-afaa-a2144758d590","000083-32-9","C12H10","Acenaphthene","487df68b-4994-4027-8fdc-a4dc298257b7","23dbff79-8037-43e7-b270-5a3da416a284"
